x1,x2,x3,x4,t
-6.728816,-6.051864,25.874740,-82.116476,4.300000
-6.668655,-6.142595,25.596740,-81.503671,4.310000
-6.623631,-6.249278,25.329373,-80.915404,4.320000
-6.593785,-6.371144,25.074213,-80.355078,4.330000
-6.579080,-6.507456,24.832779,-79.825837,4.340000
-6.579417,-6.657511,24.606546,-79.330606,4.350000
-6.594637,-6.820616,24.396958,-78.872125,4.360000
-6.624535,-6.996081,24.205435,-78.452979,4.370000
-6.668854,-7.183197,24.033383,-78.075633,4.380000
-6.727296,-7.381215,23.882190,-77.742449,4.390000
-6.799515,-7.589325,23.753235,-77.455709,4.400000
-6.885119,-7.806632,23.647875,-77.217626,4.410000
-6.983660,-8.032135,23.567446,-77.030348,4.420000
-7.094634,-8.264695,23.513243,-76.895963,4.430000
-7.217469,-8.503018,23.486509,-76.816483,4.440000
-7.351514,-8.745630,23.488408,-76.793831,4.450000
-7.496030,-8.990851,23.519999,-76.829808,4.460000
-7.650181,-9.236786,23.582201,-76.926053,4.470000
-7.813015,-9.481305,23.675755,-77.083994,4.480000
-7.983459,-9.722038,23.801174,-77.304776,4.490000
-8.160304,-9.956379,23.958696,-77.589183,4.500000
-8.342198,-10.181496,24.148226,-77.937547,4.510000
-8.527637,-10.394352,24.369280,-78.349632,4.520000
-8.714962,-10.591748,24.620925,-78.824526,4.530000
-8.902365,-10.770370,24.901730,-79.360509,4.540000
-9.087888,-10.926860,25.209711,-79.954930,4.550000
-9.269443,-11.057899,25.542295,-80.604083,4.560000
-9.444829,-11.160306,25.896302,-81.303102,4.570000
-9.611766,-11.231150,26.267936,-82.045880,4.580000
-9.767927,-11.267866,26.652811,-82.825021,4.590000
-9.910983,-11.268379,27.045999,-83.631846,4.600000
-10.038662,-11.231223,27.442106,-84.456450,4.610000
-10.148798,-11.155641,27.835385,-85.287836,4.620000
-10.239401,-11.041677,28.219867,-86.114103,4.630000
-10.308712,-10.890227,28.589524,-86.922722,4.640000
-10.355271,-10.703066,28.938441,-87.700856,4.650000
-10.377964,-10.482827,29.260996,-88.435736,4.660000
-10.376074,-10.232950,29.552040,-89.115059,4.670000
-10.349317,-9.957574,29.807058,-89.727395,4.680000
-10.297856,-9.661414,30.022302,-90.262566,4.690000
-10.222310,-9.349600,30.194899,-90.711976,4.700000
-10.123740,-9.027494,30.322910,-91.068876,4.710000
-10.003618,-8.700518,30.405347,-91.328540,4.720000
-9.863792,-8.373971,30.442156,-91.488345,4.730000
-9.706422,-8.052874,30.434156,-91.547761,4.740000
-9.533923,-7.741831,30.382945,-91.508250,4.750000
-9.348894,-7.444930,30.290787,-91.373087,4.760000
-9.154047,-7.165670,30.160485,-91.147132,4.770000
-8.952139,-6.906926,29.995250,-90.836556,4.780000
-8.745908,-6.670941,29.798570,-90.448556,4.790000
-8.538015,-6.459353,29.574093,-89.991064,4.800000
-8.330996,-6.273231,29.325521,-89.472474,4.810000
-8.127222,-6.113141,29.056521,-88.901399,4.820000
-7.928872,-5.979214,28.770664,-88.286453,4.830000
-7.737909,-5.871217,28.471365,-87.636078,4.840000
-7.556076,-5.788628,28.161854,-86.958409,4.850000
-7.384887,-5.730709,27.845159,-86.261166,4.860000
-7.225635,-5.696566,27.524095,-85.551595,4.870000
-7.079399,-5.685211,27.201269,-84.836427,4.880000
-6.947059,-5.695602,26.879090,-84.121865,4.890000
-6.829311,-5.726691,26.559786,-83.413589,4.900000
-6.726686,-5.777444,26.245418,-82.716781,4.910000
-6.639568,-5.846870,25.937910,-82.036153,4.920000
-6.568212,-5.934031,25.639059,-81.375993,4.930000
-6.512764,-6.038050,25.350565,-80.740202,4.940000
-6.473272,-6.158111,25.074045,-80.132346,4.950000
-6.449710,-6.293454,24.811055,-79.555700,4.960000
-6.441979,-6.443367,24.563105,-79.013293,4.970000
-6.449928,-6.607173,24.331672,-78.507952,4.980000
-6.473353,-6.784214,24.118215,-78.042338,4.990000
-6.512011,-6.973830,23.924181,-77.618983,5.000000
-6.565615,-7.175339,23.751012,-77.240319,5.010000
